Periode,TYPE_EENHEID,NIS_CODE_EENHEID,LABEL_EENHEID,AANTAL fieldLabel_nl,TOTAAL
202106,Gemeente,72020,Lommel,7,34255
202106,Gemeente,72038,Hechtel-Eksel,0,12543
202106,Gemeente,72039,Houthalen-Helchteren,10,30498
202106,Gemeente,72041,Dilsen-Stokkem,3,20819
202106,Gemeente,72042,Oudsbergen (vanaf 2019),2,23520
202106,Gemeente,73022,Heers,0,7339
202106,Gemeente,73098,Wellen,0,7413
202106,Gemeente,81001,Aarlen,8,30393
202106,Gemeente,82003,Bastenaken,5,16296
202106,Gemeente,83013,Érezée,1,3283
202106,Gemeente,83028,Hotton,0,5662
202106,Gemeente,84016,Daverdisse,0,1415
202106,Gemeente,84035,Libin,0,5286
202106,Gemeente,84059,Saint-Hubert,5,5625
202106,Gemeente,85047,Rouvroy,3,2108
202106,Gemeente,91013,Beauraing,0,9260
202106,Gemeente,91015,Bièvre,0,3387
202106,Gemeente,91059,Hamois,0,7383
202106,Gemeente,91143,Vresse-Sur-Semois,2,2540
202106,Gemeente,92087,Mettet,0,13261
202106,Gemeente,92141,La Bruyère,0,9337
202106,Gemeente,93010,Cerfontaine,0,4998
202106,Gemeente,93022,Florennes,3,11256
202106,Gemeente,93056,Philippeville,0,9244
202106,Gemeente,93088,Walcourt,3,18355
202106,Gemeente,11008,Brasschaat,22,38211
202106,Gemeente,11016,Essen,0,19196
202106,Gemeente,11025,Lint,0,8575
202106,Gemeente,11029,Mortsel,28,26170
202106,Gemeente,11039,Schilde,3,19925
202106,Gemeente,11040,Schoten,8,34291
202106,Gemeente,11044,Stabroek,2,18680
202106,Gemeente,11050,Wijnegem,0,10084
202106,Gemeente,11056,Zwijndrecht,10,19263
202106,Gemeente,12029,Putte,0,18109
202106,Gemeente,13019,Lille,0,16517
202106,Gemeente,13025,Mol,24,37021
202106,Gemeente,13037,Rijkevorsel,0,12262
202106,Gemeente,13053,Laakdal,0,16293
202106,Gemeente,21005,Etterbeek,127,48331
202106,Gemeente,21009,Elsene,234,87488
202106,Gemeente,21010,Jette,138,52854
202106,Gemeente,21013,Sint-Gillis,208,49196
202106,Gemeente,21014,Sint-Joost-Ten-Node,148,27124
202106,Gemeente,21017,Watermaal-Bosvoorde,22,25221
202106,Gemeente,23027,Halle,9,40656
202106,Gemeente,23044,Liedekerke,7,13482
202106,Gemeente,23047,Machelen,16,15895
202106,Gemeente,23096,Zemst,0,23314
202106,Gemeente,24020,Diest,17,24370
202106,Gemeente,24028,Geetbets,0,6188
202106,Gemeente,24043,Holsbeek,0,10148
202106,Gemeente,24048,Keerbergen,0,13073
202106,Gemeente,24133,Linter,0,7253
202106,Gemeente,25014,Eigenbrakel,10,40093
202106,Gemeente,25048,Geldenaken,12,14309
202106,Gemeente,25119,Lasne,4,14271
202106,Gemeente,25120,Orp-Jauche,0,9001
202106,Gemeente,25123,Rebecq,1,10982
202106,Gemeente,31033,Torhout,8,20490
202106,Gemeente,33016,Mesen,0,1051
202106,Gemeente,33021,Poperinge,2,19686
202106,Gemeente,34003,Avelgem,1,10249
202106,Gemeente,34027,Menen,36,33708
202106,Gemeente,35011,Middelkerke,1,19676
202106,Gemeente,35013,Oostende,182,71755
202106,Gemeente,36010,Ledegem,1,9715
202106,Gemeente,36012,Moorslede,1,11445
202106,Gemeente,37010,Oostrozebeke,0,7943
202106,Gemeente,37018,Wingene,1,14699
202106,Gemeente,37020,Ardooie,0,9151
202106,Gemeente,41011,Denderleeuw,21,20730
202106,Gemeente,41063,Sint-Lievens-Houtem,0,10474
202106,Gemeente,42026,Wichelen,2,11690
202106,Gemeente,43005,Eeklo,8,21549
